Spell 1,Spell 2,Spell 3,Spell 4
Snooze,Sizzle,Psyche Up,Magic Burst
Sizz,Kacrackle Slash,Acceleratle,Kaboom
Oomph,Zoom,Sizzle,Hocus Pocus
Snooze,Kamikazee,Hatchet Man,Acceleratle
Magic Burst,Oomph,Flame Slash,Thwack
Kamikazee,Heal,Zoom,Acceleratle
Sizz,Bounce,Snooze,Flame Slash
Zoom,Psyche Up,Kacrackle Slash,Sizzle
Oomph,Hatchet Man,Psyche Up,Zoom
Thwack,Bang,Snooze,Heal
Kaboom,Acceleratle,Sizzle,Oomph
Whack,Kamikazee,Bounce,Sizz
Oomph,Kacrackle Slash,Metal Slash,Snooze
Kaboom,Zoom,Sizz,Bounce
Bang,Flame Slash,Kaclang,Heal
Bang,Thwack,Psyche Up,Acceleratle
Sizz,Hatchet Man,Magic Burst,Kamikazee
Psyche Up,Flame Slash,Bounce,Acceleratle
Snooze,Oomph,Kacrackle Slash,Hatchet Man
Heal,Kaboom,Sizz,Whack
Acceleratle,Sizzle,Zoom,Psyche Up
Acceleratle,Bang,Heal,Kacrackle Slash
Bounce,Kaboom,Sizz,Magic Burst
Hatchet Man,Sizzle,Acceleratle,Bang
Snooze,Magic Burst,Heal,Bounce
Oomph,Kacrackle Slash,Zoom,Metal Slash
Flame Slash,Kaboom,Snooze,Thwack
Sizzle,Whack,Bang,Psyche Up
Metal Slash,Oomph,Heal,Kaboom
Snooze,Zoom,Whack,Sizzle
Bang,Flame Slash,Sizz,Hatchet Man
Kaboom,Whack,Flame Slash,Zoom
Kacrackle Slash,Bang,Sizzle,Oomph
Kacrackle Slash,Heal,Oomph,Psyche Up
Thwack,Kaboom,Oomph,Flame Slash
Heal,Kaboom,Metal Slash,Thwack
Kacrackle Slash,Snooze,Zoom,Sizzle
Thwack,Acceleratle,Hatchet Man,Oomph
Sizz,Flame Slash,Snooze,Hocus Pocus
Bang,Hatchet Man,Sizzle,Oomph
Snooze,Psyche Up,Thwack,Sizz
Magic Burst,Oomph,Zoom,Acceleratle
Snooze,Metal Slash,Psyche Up,Hatchet Man
Bounce,Sizzle,Kaboom,Oomph
Psyche Up,Flame Slash,Sizz,Kacrackle Slash
Hatchet Man,Sizzle,Thwack,Bang
Metal Slash,Oomph,Whack,Psyche Up
Zoom,Oomph,Snooze,Kaboom
Magic Burst,Psyche Up,Thwack,Sizz
Bounce,Sizzle,Whack,Hatchet Man
Zoom,Oomph,Kacrackle Slash,Flame Slash
Sizz,Acceleratle,Hatchet Man,Psyche Up
Kacrackle Slash,Zoom,Bounce,Sizzle
Kaboom,Hatchet Man,Sizz,Oomph
Thwack,Bounce,Kamikazee,Psyche Up
Whack,Psyche Up,Metal Slash,Bounce
Oomph,Kaboom,Flame Slash,Snooze
Acceleratle,Hatchet Man,Bounce,Whack
Kaboom,Flame Slash,Sizz,Thwack
Snooze,Zoom,Kacrackle Slash,Whack
Psyche Up,Oomph,Sizzle,Thwack
Sizz,Flame Slash,Acceleratle,Hocus Pocus
Zoom,Bounce,Bang,Kacrackle Slash
Psyche Up,Sizzle,Kaboom,Acceleratle
Snooze,Flame Slash,Hatchet Man,Magic Burst
Bounce,Bang,Whack,Zoom
Magic Burst,Thwack,Hatchet Man,Sizzle
Psyche Up,Acceleratle,Bang,Metal Slash
Sizzle,Kaboom,Oomph,Hatchet Man
Hocus Pocus,Flame Slash,Acceleratle,Bang
Oomph,Sizz,Hocus Pocus,Zoom
Acceleratle,Bang,Sizzle,Kaclang
